{-101/300, -53/75, -337/300}
{7, -219/50, 1/2}
{7, -53/25, 1/2}
{-219/50, -53/25, 1/2}
{-53/25, 7, 1/2}
{15/2, -97/25, 1/2}
{15/2, -78/25, 1/2}
{-97/25, -78/25, 1/2}
{-78/25, 15/2, 1/2}
{79/10, -39/10, 1/2}
{79/10, -7/2, 1/2}
{-39/10, -7/2, 1/2}
{-7/2, 79/10, 1/2}
{709/10, -199/10, 1/2}
{709/10, -101/2, 1/2}
{-199/10, -101/2, 1/2}
{-101/2, 709/10, 1/2}
{759/10, -199/10, 1/2}
{759/10, -111/2, 1/2}
{-199/10, -111/2, 1/2}
{-111/2, 759/10, 1/2}
{859/10, -199/10, 1/2}
{859/10, -131/2, 1/2}
{-199/10, -131/2, 1/2}
{-131/2, 859/10, 1/2}
{89/10, -19/10, 1/2}
{89/10, -13/2, 1/2}
{-19/10, -13/2, 1/2}
{-13/2, 89/10, 1/2}
{-89/10, 101/10, -53/10}
{-89/10, -13/2, -53/10}
{101/10, -13/2, -53/10}
{-13/2, -89/10, -53/10}
{89/10, -11/5, 1/2}
{89/10, -31/5, 1/2}
{-11/5, -31/5, 1/2}
{-31/5, 89/10, 1/2}
{99/10, -29/10, 1/2}
{99/10, -13/2, 1/2}
{-29/10, -13/2, 1/2}
{-13/2, 99/10, 1/2}
{52/5, -3, 1/2}
{52/5, -69/10, 1/2}
{-3, -69/10, 1/2}
{-69/10, 52/5, 1/2}
{52/5, -4, 1/2}
{52/5, -59/10, 1/2}
{-4, -59/10, 1/2}
{-59/10, 52/5, 1/2}
{57/5, -4, 1/2}
{57/5, -69/10, 1/2}
{-4, -69/10, 1/2}
{-69/10, 57/5, 1/2}
{62/5, -3, 1/2}
{62/5, -89/10, 1/2}
{-3, -89/10, 1/2}
{-89/10, 62/5, 1/2}
{57/5, -49/10, 1/2}
{57/5, -6, 1/2}
{-49/10, -6, 1/2}
{-6, 57/5, 1/2}
{62/5, -49/10, 1/2}
{62/5, -7, 1/2}
{-49/10, -7, 1/2}
{-7, 62/5, 1/2}
{-11/10, 2/5, -16/5}
{-11/10, -5/2, -16/5}
{2/5, -5/2, -16/5}
{-5/2, -11/10, -16/5}
{72/5, -39/10, 1/2}
{72/5, -10, 1/2}
{-39/10, -10, 1/2}
{-10, 72/5, 1/2}
{-11/10, 7/5, -16/5}
{-11/10, -7/2, -16/5}
{7/5, -7/2, -16/5}
{-7/2, -11/10, -16/5}
{-51/10, 27/5, -16/5}
{-51/10, -7/2, -16/5}
{27/5, -7/2, -16/5}
{-7/2, -51/10, -16/5}
{-11/10, 2/5, -21/5}
{-11/10, -7/2, -21/5}
{2/5, -7/2, -21/5}
{-7/2, -11/10, -21/5}
{50, -46/5, 1/2}
{50, -403/10, 1/2}
{-46/5, -403/10, 1/2}
{-403/10, 50, 1/2}
{50010, -230046/5, 1/2}
{50010, -40003/10, 1/2}
{-230046/5, -40003/10, 1/2}
{-40003/10, 50010, 1/2}
{54010, -249546/5, 1/2}
{54010, -41003/10, 1/2}
{-249546/5, -41003/10, 1/2}
{-41003/10, 54010, 1/2}
{52, -51/5, 1/2}
{52, -413/10, 1/2}
{-51/5, -413/10, 1/2}
{-413/10, 52, 1/2}
{17, -61/5, 1/2}
{17, -43/10, 1/2}
{-61/5, -43/10, 1/2}
{-43/10, 17, 1/2}
{18, -61/5, 1/2}
{18, -53/10, 1/2}
{-61/5, -53/10, 1/2}
{-53/10, 18, 1/2}
{20, -71/5, 1/2}
{20, -53/10, 1/2}
{-71/5, -53/10, 1/2}
{-53/10, 20, 1/2}
{25, -96/5, 1/2}
{25, -53/10, 1/2}
{-96/5, -53/10, 1/2}
{-53/10, 25, 1/2}
{27, -106/5, 1/2}
{27, -53/10, 1/2}
{-106/5, -53/10, 1/2}
{-53/10, 27, 1/2}
{30, -121/5, 1/2}
{30, -53/10, 1/2}
{-121/5, -53/10, 1/2}
{-53/10, 30, 1/2}
{32, -131/5, 1/2}
{32, -53/10, 1/2}
{-131/5, -53/10, 1/2}
{-53/10, 32, 1/2}
{33, -136/5, 1/2}
{33, -53/10, 1/2}
{-136/5, -53/10, 1/2}
{-53/10, 33, 1/2}
{33, -36/5, 1/2}
{33, -253/10, 1/2}
{-36/5, -253/10, 1/2}
{-253/10, 33, 1/2}
{33, -16/5, 1/2}
{33, -293/10, 1/2}
{-16/5, -293/10, 1/2}
{-293/10, 33, 1/2}
{35, -26/5, 1/2}
{35, -293/10, 1/2}
{-26/5, -293/10, 1/2}
{-293/10, 35, 1/2}
{45, -26/5, 1/2}
{45, -393/10, 1/2}
{-26/5, -393/10, 1/2}
{-393/10, 45, 1/2}
{55, -76/5, 1/2}
{55, -393/10, 1/2}
{-76/5, -393/10, 1/2}
{-393/10, 55, 1/2}
{55, -26/5, 1/2}
{55, -493/10, 1/2}
{-26/5, -493/10, 1/2}
{-493/10, 55, 1/2}
{55, -31/5, 1/2}
{55, -483/10, 1/2}
{-31/5, -483/10, 1/2}
{-483/10, 55, 1/2}
{62500/1849, -107323269247425492936564475098941231/4610729372740898710876306801746540, 1059847435272909/2006689697607340}
{62500/1849, -12422933334803059/1242660517319769, 1059847435272909/2006689697607340}
{-107323269247425492936564475098941231/4610729372740898710876306801746540, -12422933334803059/1242660517319769, 1059847435272909/2006689697607340}
{-12422933334803059/1242660517319769, 62500/1849, 1059847435272909/2006689697607340}
{62500/1849, -31434451068904518920338095322009579/2577249073412220609937519581897990, 754169014384507/1427925511779255}
{62500/1849, -20574186331834433/976144087457402, 754169014384507/1427925511779255}
{-31434451068904518920338095322009579/2577249073412220609937519581897990, -20574186331834433/976144087457402, 754169014384507/1427925511779255}
{-20574186331834433/976144087457402, 62500/1849, 754169014384507/1427925511779255}
