 Soft limit #1:
   1.0209873656714057        7.9316766667064384E-011   7.7686335143731513E-011
   1.0001855817973380        7.7700752313436087E-011   7.7686335143731513E-011
   1.0000018770456862        7.7686480964531771E-011   7.7686335143731513E-011
   1.0000001277078492        7.7686345064886292E-011   7.7686335143731513E-011
   1.0000001108460195        7.7686343754952540E-011   7.7686335143731513E-011
   1.0000001098433229        7.7686343677056709E-011   7.7686335143731513E-011
   1.0000000500000039        7.7686339028048575E-011   7.7686335143731513E-011
   1.0000000050000002        7.7686335532163199E-011   7.7686335143731513E-011
   1.0000000004999998        7.7686335182574661E-011   7.7686335143731513E-011
   1.0000000000500002        7.7686335147615850E-011   7.7686335143731513E-011

 Soft limit #2:
   1.0198987959369334        5.4908898838634093E-012   5.3837595511809431E-012
   1.0001703613442976        5.3846767356954576E-012   5.3837595511809431E-012
   1.0000016636190436        5.3837685077058588E-012   5.3837595511809431E-012
   1.0000001401676835        5.3837603058100474E-012   5.3837595511809431E-012
   1.0000001260772802        5.3837602299507044E-012   5.3837595511809431E-012
   1.0000001229392472        5.3837602130562901E-012   5.3837595511809431E-012
   1.0000000500000037        5.3837598203689405E-012   5.3837595511809431E-012
   1.0000000049999995        5.3837595780997388E-012   5.3837595511809431E-012
   1.0000000005000000        5.3837595538728231E-012   5.3837595511809431E-012
   1.0000000000500000        5.3837595514501314E-012   5.3837595511809431E-012

 Soft limit #3:
   1.0220145217614263        2.4279098474074957E-011   2.3756118878066727E-011
   1.0001985035947503        2.3760834553061340E-011   2.3756118878066727E-011
   1.0000020559424843        2.3756167719280790E-011   2.3756118878066727E-011
   1.0000001225726320        2.3756121789916744E-011   2.3756118878066727E-011
   1.0000001038137034        2.3756121344277409E-011   2.3756118878066727E-011
   1.0000001030196988        2.3756121325414938E-011   2.3756118878066727E-011
   1.0000000500000039        2.3756120065872764E-011   2.3756118878066727E-011
   1.0000000050000000        2.3756118996847320E-011   2.3756118878066727E-011
   1.0000000005000000        2.3756118889944789E-011   2.3756118878066727E-011
   1.0000000000500002        2.3756118879254539E-011   2.3756118878066727E-011

 Collinear limit #1:
   1.0500076185529736        8.5253224791733576E-010   8.1192958303694905E-010
   1.0005234835661188        8.1235461483051460E-010   8.1192958303694905E-010
  0.99959238533126371        8.1159862862892225E-010   8.1192958303694905E-010
  0.99991272735384884        8.1185872379374902E-010   8.1192958303694905E-010
  0.99998669309854971        8.1191877877000297E-010   8.1192958303694905E-010
  0.99999829320135225        8.1192819723663468E-010   8.1192958303694905E-010
   1.0000000805982046        8.1192964847701574E-010   8.1192958303694905E-010
   1.0000000080598197        8.1192958958095510E-010   8.1192958303694905E-010
   1.0000000008059824        8.1192958369134994E-010   8.1192958303694905E-010
   1.0000000000805984        8.1192958310238928E-010   8.1192958303694905E-010

 Collinear limit #2:
   1.0526325298637331        3.2119560758859713E-011   3.0513555155869730E-011
   1.0050250127456248        3.0666886159442302E-011   3.0513555155869730E-011
   1.0005003000324657        3.0528821088504857E-011   3.0513555155869730E-011
   1.0000500957577056        3.0515083755535560E-011   3.0513555155869730E-011
   1.0000051014490545        3.0513710819216830E-011   3.0513555155869730E-011
   1.0000006121125720        3.0513573833600459E-011   3.0513555155869730E-011
   1.0000000000139400        3.0513555156295089E-011   3.0513555155869730E-011
   1.0000000000013942        3.0513555155912272E-011   3.0513555155869730E-011
   1.0000000000001399        3.0513555155873996E-011   3.0513555155869730E-011
   1.0000000000000144        3.0513555155870170E-011   3.0513555155869730E-011
